TripID,Destination,StartDate,EndDate,Price,IsInternational
1,Agra,2025-08-27,2025-09-01,48541.15,1
2,Varanasi,2025-08-12,2025-08-17,38442.22,0
3,Mumbai,2025-08-22,2025-08-30,38228.60,1
4,Jaipur,2025-06-09,2025-06-14,29064.26,1
5,Chennai,2025-07-09,2025-07-13,22396.15,0
6,Varanasi,2025-11-19,2025-11-26,29487.54,0
7,Manali,2025-06-30,2025-07-08,19124.06,0
8,Manali,2025-09-25,2025-10-05,22858.52,1
9,Kerala,2025-11-09,2025-11-16,26339.89,0
10,Pondicherry,2025-08-31,2025-09-04,9502.80,1
11,Kerala,2025-11-22,2025-11-25,29047.29,1
12,Varanasi,2025-11-12,2025-11-17,45057.78,0
13,Manali,2025-07-31,2025-08-10,46969.18,1
14,Varanasi,2025-07-26,2025-08-05,37881.33,0
15,Mumbai,2025-10-14,2025-10-18,34890.06,0
16,Chennai,2025-11-18,2025-11-27,12555.65,0
17,Kerala,2025-08-31,2025-09-10,41967.33,0
18,Pondicherry,2025-08-25,2025-09-04,16369.61,0
19,Agra,2025-07-19,2025-07-28,24628.14,1
20,Kerala,2025-11-04,2025-11-07,41107.54,1
21,Pondicherry,2025-11-18,2025-11-27,43185.06,0
22,Varanasi,2025-11-22,2025-11-29,6984.27,0
23,Mumbai,2025-10-06,2025-10-09,34502.81,1
24,Agra,2025-06-16,2025-06-21,15092.38,0
25,Chennai,2025-06-02,2025-06-08,5716.41,0
26,Goa,2025-06-08,2025-06-18,24984.39,1
27,Agra,2025-09-29,2025-10-08,33987.76,1
28,Pondicherry,2025-09-17,2025-09-26,13065.32,0
29,Chennai,2025-09-27,2025-10-03,19899.10,1
30,Kerala,2025-11-22,2025-11-25,45970.89,0
31,Varanasi,2025-09-14,2025-09-20,41454.87,1
32,Agra,2025-10-24,2025-10-29,10770.11,1
33,Agra,2025-10-20,2025-10-23,29503.65,0
34,Mumbai,2025-07-21,2025-07-24,24613.90,0
35,Jaipur,2025-09-27,2025-10-07,19295.18,0
36,Chennai,2025-08-05,2025-08-08,43441.57,0
37,Goa,2025-06-11,2025-06-21,13387.13,1
38,Mumbai,2025-09-24,2025-09-27,40548.08,1
39,Manali,2025-10-19,2025-10-22,10361.38,0
40,Delhi,2025-06-08,2025-06-15,29634.41,0
41,Varanasi,2025-11-16,2025-11-19,45290.06,0
42,Manali,2025-09-10,2025-09-14,48462.48,1
43,Jaipur,2025-08-10,2025-08-13,22151.07,0
44,Jaipur,2025-06-07,2025-06-15,10201.32,0
45,Varanasi,2025-10-22,2025-10-28,17849.32,0
46,Pondicherry,2025-06-21,2025-06-26,35322.73,1
47,Mumbai,2025-10-06,2025-10-13,14100.34,0
48,Jaipur,2025-09-03,2025-09-07,8136.86,1
49,Goa,2025-08-23,2025-09-02,16649.24,1
50,Manali,2025-08-12,2025-08-16,20920.06,1
51,Varanasi,2025-09-22,2025-09-27,17551.28,1
52,Chennai,2025-07-31,2025-08-08,35704.33,1
53,Chennai,2025-08-28,2025-09-03,13272.76,0
54,Jaipur,2025-10-07,2025-10-14,37265.99,1
55,Varanasi,2025-09-03,2025-09-08,21962.83,1
56,Jaipur,2025-10-11,2025-10-14,48314.48,1
57,Agra,2025-07-29,2025-08-05,27534.87,0
58,Jaipur,2025-10-06,2025-10-15,6585.80,0
59,Kerala,2025-06-24,2025-06-30,41307.02,1
60,Agra,2025-07-16,2025-07-19,37410.87,1
61,Varanasi,2025-09-10,2025-09-20,33110.36,0
62,Agra,2025-11-20,2025-11-27,22701.98,1
63,Goa,2025-06-19,2025-06-28,21346.12,1
64,Goa,2025-06-22,2025-06-30,6944.15,0
65,Jaipur,2025-11-13,2025-11-20,36400.90,1
66,Varanasi,2025-08-12,2025-08-18,31309.38,0
67,Mumbai,2025-06-19,2025-06-24,30057.23,0
68,Varanasi,2025-09-04,2025-09-08,23505.55,1
69,Agra,2025-06-03,2025-06-10,39842.77,0
70,Chennai,2025-07-27,2025-08-05,15582.68,0
71,Pondicherry,2025-07-11,2025-07-20,47795.46,1
72,Delhi,2025-10-04,2025-10-12,28022.48,0
73,Kerala,2025-06-21,2025-06-30,6914.35,0
74,Agra,2025-10-19,2025-10-26,15300.05,1
75,Jaipur,2025-11-04,2025-11-14,21937.75,0
76,Mumbai,2025-08-15,2025-08-21,48293.32,0
77,Varanasi,2025-11-25,2025-12-04,27935.10,0
78,Goa,2025-06-11,2025-06-16,26622.27,1
79,Jaipur,2025-08-27,2025-09-06,21429.90,0
80,Pondicherry,2025-07-05,2025-07-09,38111.25,1
81,Jaipur,2025-06-12,2025-06-16,20680.24,0
82,Delhi,2025-08-10,2025-08-19,47966.62,1
83,Agra,2025-08-30,2025-09-05,47145.08,0
84,Agra,2025-08-21,2025-08-31,49390.56,0
85,Goa,2025-11-26,2025-12-02,15900.95,0
